subject,file,N_target,kind,frames,shape_p50_diff_mean,shape_p90_diff_mean,centroid_drift_mean,nn_p95_mean,unique_ratio_mean,max_dup_p95,jitter_base,jitter_fps,jitter_wrs
E,Jalan8.csv,56,fps_overall,85,0.01209420829134829,0.05514751049525588,0.06541974060511326,0.00798076935200624,0.6371848739495799,14.799999999999997,0.5637394785881042,0.568383514881134,0.5651906132698059
E,Jalan8.csv,56,fps_down,33,0.014004246867967375,0.05725408503503479,0.04209558071681496,0.02055652711880395,1.0,1.0,0.5637394785881042,0.568383514881134,0.5651906132698059
E,Jalan8.csv,56,fps_up,52,0.010882068425416946,0.05381064588347311,0.08022161130345641,0.0,0.4069368131868132,16.0,0.5637394785881042,0.568383514881134,0.5651906132698059
E,Jalan8.csv,56,wrs_overall,85,0.010122154083322076,0.05425400138777837,0.05640353529220995,0.014588353487214236,0.6371848739495799,14.799999999999997,0.5637394785881042,0.568383514881134,0.5651906132698059
E,Jalan8.csv,56,wrs_down,33,0.00892471330183925,0.054952622182441214,0.018872021577518546,0.037576062012521505,1.0,1.0,0.5637394785881042,0.568383514881134,0.5651906132698059
E,Jalan8.csv,56,wrs_up,52,0.010882068425416946,0.05381064588347311,0.08022161130345641,0.0,0.4069368131868132,16.0,0.5637394785881042,0.568383514881134,0.5651906132698059
E,Jalan9.csv,56,fps_overall,82,0.010461338727575977,0.03334194269122144,0.031945055782249786,0.009926446027790706,0.7155923344947736,12.950000000000003,0.47755497694015503,0.48320072889328003,0.48265692591667175
E,Jalan9.csv,56,fps_down,35,0.011201759108475276,0.01348073627267563,0.031139414724228636,0.02325624497939537,1.0,1.0,0.47755497694015503,0.48320072889328003,0.48265692591667175
E,Jalan9.csv,56,fps_up,46,0.010125395801404247,0.049178555024706756,0.033252501278184354,0.0,0.4930124223602484,13.0,0.47755497694015503,0.48320072889328003,0.48265692591667175
E,Jalan9.csv,56,wrs_overall,82,0.011546291910657069,0.037853106020427296,0.03167948828124237,0.01949036220582294,0.7155923344947736,12.950000000000003,0.47755497694015503,0.48320072889328003,0.48265692591667175
E,Jalan9.csv,56,wrs_down,35,0.013743649423122405,0.024049747501100793,0.03051722800758268,0.045663134310785176,1.0,1.0,0.47755497694015503,0.48320072889328003,0.48265692591667175
E,Jalan9.csv,56,wrs_up,46,0.010125395801404247,0.049178555024706756,0.033252501278184354,0.0,0.4930124223602484,13.0,0.47755497694015503,0.48320072889328003,0.48265692591667175
F,Jalan1.csv,56,fps_overall,75,0.005738876859347025,0.03743821211655934,0.02651243282016367,0.013818738726048859,0.8369047619047619,7.199999999999989,0.6598513126373291,0.6583545804023743,0.657711923122406
F,Jalan1.csv,56,fps_down,35,0.0050518966146877835,0.006942999533244537,0.024473434181085656,0.02961158298439041,1.0,1.0,0.6598513126373291,0.6583545804023743,0.657711923122406
F,Jalan1.csv,56,fps_up,40,0.006339984573423862,0.06412152312695979,0.028296556629356928,0.0,0.6941964285714286,12.0,0.6598513126373291,0.6583545804023743,0.657711923122406
F,Jalan1.csv,56,wrs_overall,75,0.00857247809569041,0.03796287717421849,0.022652025724140306,0.01890994775009113,0.8369047619047619,7.199999999999989,0.6598513126373291,0.6583545804023743,0.657711923122406
F,Jalan1.csv,56,wrs_down,35,0.011123899263995034,0.008067281799657008,0.016201133261035595,0.04052131660733814,1.0,1.0,0.6598513126373291,0.6583545804023743,0.657711923122406
F,Jalan1.csv,56,wrs_up,40,0.006339984573423862,0.06412152312695979,0.028296556629356928,0.0,0.6941964285714286,12.0,0.6598513126373291,0.6583545804023743,0.657711923122406
F,Jalan10.csv,56,fps_overall,97,0.012178103487516186,0.07616627048893072,0.03383825447880807,0.006273207172650385,0.5975699558173785,14.0,0.5984867215156555,0.5944199562072754,0.5977088809013367
F,Jalan10.csv,56,fps_down,24,0.01292430143803358,0.018801620664695873,0.046932750944203384,0.025354212322795305,1.0,1.0,0.5984867215156555,0.5944199562072754,0.5977088809013367
F,Jalan10.csv,56,fps_up,72,0.012098511163559224,0.09634568529824415,0.029943398080326408,0.0,0.4578373015873016,14.450000000000003,0.5984867215156555,0.5944199562072754,0.5977088809013367
F,Jalan10.csv,56,wrs_overall,97,0.01103989895164352,0.07592395805206494,0.02786381919052183,0.010303593554318301,0.5975699558173785,14.0,0.5984867215156555,0.5944199562072754,0.5977088809013367
F,Jalan10.csv,56,wrs_down,24,0.008324058105548223,0.01782227456569667,0.022786074987379834,0.0416436906153698,1.0,1.0,0.5984867215156555,0.5944199562072754,0.5977088809013367
F,Jalan10.csv,56,wrs_up,72,0.012098511163559224,0.09634568529824415,0.029943398080326408,0.0,0.4578373015873016,14.450000000000003,0.5984867215156555,0.5944199562072754,0.5977088809013367
F,Jalan11.csv,56,fps_overall,97,0.008502000539573198,0.017076263999201577,0.025966634080966108,0.012059790456987886,0.7279086892488955,15.0,0.5810736417770386,0.5710049867630005,0.5767284035682678
F,Jalan11.csv,56,fps_down,38,0.008047259951892653,0.010662336961219179,0.031147405511307482,0.030784201955995398,1.0,1.0,0.5810736417770386,0.5710049867630005,0.5767284035682678
F,Jalan11.csv,56,fps_up,58,0.008946520244253093,0.02157291040338318,0.023020036145241868,0.0,0.5449507389162561,15.149999999999999,0.5810736417770386,0.5710049867630005,0.5767284035682678
F,Jalan11.csv,56,wrs_overall,97,0.008228534198913378,0.01730992313205581,0.02056760935727315,0.018771554534190934,0.7279086892488955,15.0,0.5810736417770386,0.5710049867630005,0.5767284035682678
F,Jalan11.csv,56,wrs_down,38,0.007349201134945217,0.011258782642452343,0.01736568450609124,0.04791686288990843,1.0,1.0,0.5810736417770386,0.5710049867630005,0.5767284035682678
F,Jalan11.csv,56,wrs_up,58,0.008946520244253093,0.02157291040338318,0.023020036145241868,0.0,0.5449507389162561,15.149999999999999,0.5810736417770386,0.5710049867630005,0.5767284035682678
F,Jalan12.csv,56,fps_overall,95,0.01127304544574336,0.06281476543137904,0.04779033524131304,0.005303859793073782,0.6148496240601503,16.0,0.6463345289230347,0.646463930606842,0.6398565173149109
F,Jalan12.csv,56,fps_down,29,0.009514622775645092,0.020327987444811842,0.04089941084384918,0.017374713115241705,1.0,1.0,0.6463345289230347,0.646463930606842,0.6398565173149109
F,Jalan12.csv,56,fps_up,66,0.012045685709877447,0.0814831981830525,0.050818165658380494,0.0,0.4456168831168832,16.75,0.6463345289230347,0.646463930606842,0.6398565173149109
F,Jalan12.csv,56,wrs_overall,95,0.01101533860752457,0.07019868075847627,0.04356655693784552,0.01083908389788678,0.6148496240601503,16.0,0.6463345289230347,0.646463930606842,0.6398565173149109
F,Jalan12.csv,56,wrs_down,29,0.008670410719411126,0.044516675585302826,0.027062895711800403,0.03550734380342221,1.0,1.0,0.6463345289230347,0.646463930606842,0.6398565173149109
F,Jalan12.csv,56,wrs_up,66,0.012045685709877447,0.0814831981830525,0.050818165658380494,0.0,0.4456168831168832,16.75,0.6463345289230347,0.646463930606842,0.6398565173149109
F,Jalan13.csv,56,fps_overall,105,0.008580054271788824,0.03631665433446565,0.029044326822761268,0.012212175047664543,0.7241496598639456,12.0,0.5964598059654236,0.6028727889060974,0.599101185798645
F,Jalan13.csv,56,fps_down,43,0.007827841611795647,0.008399901452452629,0.027054200122176214,0.029820427441971557,1.0,1.0,0.5964598059654236,0.6028727889060974,0.599101185798645
F,Jalan13.csv,56,fps_up,62,0.009101750148880866,0.05567827326876502,0.03042457598607026,0.0,0.5328341013824884,14.949999999999996,0.5964598059654236,0.6028727889060974,0.599101185798645
F,Jalan13.csv,56,wrs_overall,105,0.00857939294406346,0.03578321846468109,0.02625204308424145,0.018051550984320965,0.7241496598639456,12.0,0.5964598059654236,0.6028727889060974,0.599101185798645
F,Jalan13.csv,56,wrs_down,43,0.007826226741768593,0.00709732549135076,0.020235832853697587,0.04407936868264422,1.0,1.0,0.5964598059654236,0.6028727889060974,0.599101185798645
F,Jalan13.csv,56,wrs_up,62,0.009101750148880866,0.05567827326876502,0.03042457598607026,0.0,0.5328341013824884,14.949999999999996,0.5964598059654236,0.6028727889060974,0.599101185798645
