timestamp,frame,x,y,z,doppler,SNR
1762771577.680080,85,-1.632177,0.541842,1.199959,-0.765520,9.520000
1762771577.680080,85,-1.447054,0.651459,1.371125,-0.695800,8.360000
1762771577.680080,85,-1.500672,0.675598,1.347823,-0.695800,8.520000
1762771577.680080,85,-1.555860,0.569179,1.214471,-0.765520,8.240000
1762771577.680080,85,-1.609533,0.588814,1.187372,-0.765520,9.520000
1762771577.680080,85,-1.378114,0.654190,1.387161,-0.695800,3.640000
1762771577.680080,85,-1.430925,0.679259,1.363676,-0.695800,8.640000
1762771577.680080,85,-1.483946,0.704428,1.340098,-0.695800,8.520000
1762771577.680080,85,-1.540488,0.599089,1.206456,-0.765520,8.000000
1762771577.680080,85,-1.593630,0.619755,1.179082,-0.765520,9.520000
1762771577.680080,85,-1.646772,0.640422,1.151707,-0.765520,5.240000
1762771577.680080,85,-1.362352,0.629100,1.328459,-0.695800,3.760000
1762771577.680080,85,-1.414224,0.706742,1.356312,-0.695800,8.760000
1762771577.680080,85,-1.466626,0.732930,1.332461,-0.695800,8.520000
1762771577.680080,85,-1.524500,0.628695,1.198523,-0.765520,7.880000
1762771577.680080,85,-1.577090,0.650383,1.170875,-0.765520,9.360000
1762771577.680080,85,-1.629681,0.672071,1.143227,-0.765520,5.360000
1762771577.680080,85,-1.346451,0.655266,1.321448,-0.695800,3.760000
1762771577.680080,85,-1.396957,0.733897,1.349036,-0.695800,8.760000
1762771577.680080,85,-1.448719,0.761091,1.324915,-0.695800,8.360000
1762771577.680080,85,-1.499376,0.672511,1.186783,-0.834960,7.520000
1762771577.680080,85,-1.559920,0.680685,1.162756,-0.765520,9.120000
1762771577.680080,85,-1.605324,0.640509,1.075726,-0.765520,5.360000
1762771577.680080,85,-1.330011,0.681120,1.314521,-0.695800,3.760000
1762771577.680080,85,-1.379132,0.760713,1.341851,-0.695800,8.760000
1762771577.680080,85,-1.430233,0.788900,1.317464,-0.695800,8.120000
1762771577.680080,85,-1.481876,0.701309,1.179067,-0.834960,7.240000
1762771577.680080,85,-1.536606,0.649689,1.097555,-0.765520,8.760000
1762771577.680080,85,-1.587846,0.671354,1.067461,-0.765520,5.360000
1762771577.680080,85,-1.360754,0.787179,1.334759,-0.695800,8.640000
1762771577.680080,85,-1.563385,0.693554,1.042707,-0.765520,5.360000
1762771577.680080,85,-0.189301,0.136137,2.098187,1.322160,4.000000
1762771577.680080,85,-1.485950,0.521777,0.729865,-0.626360,3.240000
1762771577.680080,85,-2.225833,5.199327,-2.155539,-1.669920,3.000000
1762771577.680080,85,0.010217,0.235796,2.091130,-3.131240,4.000000
1762771577.680080,85,0.176528,0.064348,1.830570,-4.174800,4.000000
1762771577.738348,86,-1.469216,0.661997,1.436959,-0.626360,6.880000
1762771577.738348,86,-1.523655,0.686526,1.416097,-0.626360,6.520000
1762771577.738348,86,-1.393648,0.627416,1.394335,-0.626360,4.640000
1762771577.738348,86,-1.447054,0.651459,1.371125,-0.626360,7.520000
1762771577.738348,86,-1.498545,0.730318,1.404363,-0.626360,7.000000
1762771577.738348,86,-1.378114,0.654190,1.387161,-0.626360,4.880000
1762771577.738348,86,-1.430925,0.679259,1.363676,-0.626360,8.120000
1762771577.738348,86,-1.481055,0.759100,1.396651,-0.626360,7.520000
1762771577.738348,86,-1.362030,0.680659,1.380068,-0.626360,5.000000
1762771577.738348,86,-1.414224,0.706742,1.356312,-0.626360,8.760000
1762771577.738348,86,-1.462972,0.787538,1.389031,-0.626360,8.120000
1762771577.738348,86,-1.519028,0.759117,1.308610,-0.626360,4.760000
1762771577.738348,86,-1.571801,0.725819,1.225216,-0.556640,3.520000
1762771577.738348,86,-1.345400,0.706811,1.373061,-0.626360,5.120000
1762771577.738348,86,-1.396957,0.733897,1.349036,-0.626360,9.240000
1762771577.738348,86,-1.448719,0.761091,1.324915,-0.626360,8.640000
1762771577.738348,86,-1.500481,0.788284,1.300795,-0.626360,4.880000
1762771577.738348,86,-1.553455,0.756008,1.217127,-0.556640,3.520000
1762771577.738348,86,-1.328232,0.732638,1.366141,-0.626360,5.240000
1762771577.738348,86,-1.379132,0.760713,1.341851,-0.626360,9.760000
1762771577.738348,86,-1.430233,0.788900,1.317464,-0.626360,9.000000
1762771577.738348,86,-1.481334,0.817087,1.293077,-0.626360,5.000000
1762771577.738348,86,-1.534489,0.785836,1.209135,-0.556640,3.640000
1762771577.738348,86,-1.310533,0.758127,1.359311,-0.626360,5.240000
1762771577.738348,86,-1.360754,0.787179,1.334759,-0.626360,10.120000
1762771577.738348,86,-1.411175,0.816347,1.310110,-0.626360,9.240000
1762771577.738348,86,-1.461595,0.845514,1.285460,-0.626360,5.120000
1762771577.738348,86,-1.514908,0.815292,1.201242,-0.556640,3.640000
1762771577.738348,86,-1.341833,0.813285,1.327764,-0.626360,10.240000
1762771577.738348,86,-1.391552,0.843420,1.302855,-0.626360,9.520000
1762771577.738348,86,-1.283004,0.795707,1.349241,-0.626360,5.240000
1762771577.738348,86,-1.332170,0.826200,1.324303,-0.626360,10.240000
1762771577.738348,86,-1.381532,0.856813,1.299267,-0.626360,9.520000
1762771577.738348,86,-1.409707,0.914866,1.266878,-0.626360,5.240000
1762771577.738348,86,-1.452563,0.901308,1.178194,-0.556640,3.640000
1762771577.738348,86,-1.732788,4.747627,0.172421,-0.278320,4.120000
1762771577.738348,86,-1.753181,4.803503,0.150912,-0.348040,4.120000
1762771577.738348,86,-0.043421,0.019771,1.751539,-0.417480,4.520000
1762771577.738348,86,0.220534,0.065924,1.894987,3.548720,3.760000
1762771577.788841,87,-1.414559,0.653208,1.302725,-0.626360,4.880000
1762771577.788841,87,-1.466973,0.677412,1.276889,-0.626360,4.640000
1762771577.788841,87,-1.519387,0.701615,1.251053,-0.487200,3.760000
1762771577.788841,87,-1.577090,0.650383,1.170875,-0.487200,3.240000
1762771577.788841,87,-1.623742,0.585761,1.071590,-0.417480,3.240000
1762771577.788841,87,-1.346451,0.655266,1.321448,-0.626360,3.520000
1762771577.788841,87,-1.398048,0.680377,1.295445,-0.626360,5.120000
1762771577.788841,87,-1.449851,0.705587,1.269339,-0.626360,4.880000
1762771577.788841,87,-1.501653,0.730797,1.243233,-0.487200,3.880000
1762771577.788841,87,-1.551100,0.695711,1.158730,-0.487200,3.360000
1762771577.788841,87,-1.598832,0.632456,1.059078,-0.417480,3.520000
1762771577.788841,87,-1.328718,0.628826,1.263914,-0.626360,3.640000
1762771577.788841,87,-1.379636,0.652923,1.235706,-0.626360,5.520000
1762771577.788841,87,-1.432149,0.733426,1.261880,-0.626360,5.120000
1762771577.788841,87,-1.483319,0.759631,1.235507,-0.487200,4.000000
1762771577.788841,87,-1.532996,0.725502,1.150747,-0.487200,3.520000
1762771577.788841,87,-1.581425,0.663176,1.050846,-0.417480,3.640000
1762771577.788841,87,-1.312495,0.654339,1.257077,-0.626360,3.760000
1762771577.788841,87,-1.362791,0.679414,1.228608,-0.626360,5.760000
1762771577.788841,87,-1.413874,0.760917,1.254514,-0.626360,5.520000
1762771577.788841,87,-1.464391,0.788105,1.227878,-0.487200,4.120000
1762771577.788841,87,-1.514279,0.754937,1.142860,-0.487200,3.640000
1762771577.788841,87,-1.563385,0.693554,1.042707,-0.417480,3.760000
1762771577.788841,87,-1.613229,0.634596,0.956773,-0.417480,3.000000
1762771577.788841,87,-1.345402,0.705574,1.221598,-0.626360,6.120000
1762771577.788841,87,-1.395034,0.788050,1.247243,-0.626360,5.760000
1762771577.788841,87,-1.595248,0.665589,0.948469,-0.417480,3.120000
1762771577.788841,87,-1.286295,0.874321,1.154545,-0.626360,6.640000
1762771577.788841,87,-1.332254,0.905560,1.124338,-0.487200,4.760000
1762771577.788841,87,-1.230021,0.855013,1.181556,-0.626360,7.360000
1762771577.788841,87,-1.162201,0.785312,1.142498,-0.626360,4.240000
1762771577.788841,87,-1.317987,0.931730,1.003783,-0.487200,4.360000
1762771577.788841,87,-1.346846,0.845724,0.854419,-0.556640,5.120000
1762771577.788841,87,-1.353275,0.820406,0.739396,-0.417480,5.000000
1762771577.788841,87,-1.331246,0.815622,0.615794,-0.417480,4.000000
1762771577.788841,87,-0.053821,0.076517,1.764931,-0.974120,3.000000
1762771577.788841,87,0.085300,0.178989,1.842851,1.183000,4.120000
1762771577.835436,88,-0.206558,0.134879,2.056129,-4.383680,3.640000
1762771577.835436,88,-1.564775,0.780112,1.114277,-0.487200,3.000000
1762771577.835436,88,-1.354676,0.820367,1.076110,-0.556640,3.120000
1762771577.835436,88,-1.375951,1.022139,1.049426,-0.487200,4.120000
1762771577.835436,88,-1.260555,0.931478,0.931819,-0.417480,3.520000
1762771577.835436,88,-1.302693,1.098578,0.909286,-0.487200,3.240000
1762771577.835436,88,-1.440309,0.782507,-0.169054,-0.069720,3.360000
1762771577.835436,88,-1.089780,0.785962,0.321886,-0.626360,3.880000
1762771577.835436,88,-1.354226,0.817648,-0.132886,-0.069720,4.000000
1762771577.835436,88,-0.986352,0.822088,0.355383,-0.626360,4.360000
1762771577.835436,88,-1.184598,0.919332,-0.114549,-0.069720,3.000000
1762771577.835436,88,-0.554278,1.133414,3.581673,-0.208880,3.120000
1762771577.835436,88,0.016472,0.164216,2.191757,2.504880,4.360000
1762771577.835436,88,0.088695,0.185845,2.146982,2.226560,3.760000
1762771577.897831,89,-1.325094,0.629021,1.410739,-0.556640,4.880000
1762771577.897831,89,-1.378114,0.654190,1.387161,-0.556640,4.640000
1762771577.897831,89,-1.434204,0.557755,1.261206,-0.626360,4.360000
1762771577.897831,89,-1.309628,0.654472,1.403919,-0.556640,5.120000
1762771577.897831,89,-1.362030,0.680659,1.380068,-0.556640,5.000000
1762771577.897831,89,-1.419319,0.585319,1.253820,-0.626360,4.640000
1762771577.897831,89,-1.471910,0.607007,1.226172,-0.626360,4.120000
1762771577.897831,89,-1.241876,0.652425,1.421302,-0.556640,3.240000
1762771577.897831,89,-1.293638,0.679618,1.397181,-0.556640,5.520000
1762771577.897831,89,-1.345400,0.706811,1.373061,-0.556640,5.520000
1762771577.897831,89,-1.395929,0.626112,1.242890,-0.626360,5.000000
1762771577.897831,89,-1.447653,0.649312,1.214836,-0.487200,4.360000
1762771577.897831,89,-1.499376,0.672511,1.186783,-0.487200,3.000000
1762771577.897831,89,-1.227672,0.628710,1.367266,-0.556640,3.240000
1762771577.897831,89,-1.277131,0.704451,1.390527,-0.556640,6.000000
1762771577.897831,89,-1.330011,0.681120,1.314521,-0.556640,6.000000
1762771577.897831,89,-1.379636,0.652923,1.235706,-0.626360,5.360000
1762771577.897831,89,-1.430756,0.677116,1.207386,-0.487200,4.520000
1762771577.897831,89,-1.481876,0.701309,1.179067,-0.487200,3.120000
1762771577.897831,89,-1.212006,0.652276,1.360951,-0.556640,3.360000
1762771577.897831,89,-1.260113,0.728959,1.383960,-0.556640,6.360000
