input_path,points_before,points_after,frames_total,frames_invalid,mean_conf,min_conf,subject,trial
E:\0.TA_Teguh\dataset3\C\Jalan46.csv,11636,10854,199,17,0.8620335748052526,0.0,C,46
E:\0.TA_Teguh\dataset3\C\Jalan47.csv,13863,10911,486,190,0.5710023639385748,0.0,C,47
E:\0.TA_Teguh\dataset3\C\Jalan48.csv,18076,16182,478,121,0.7050587598923906,0.0,C,48
E:\0.TA_Teguh\dataset3\C\Jalan49.csv,5067,4430,143,40,0.6912986588332117,0.0,C,49
E:\0.TA_Teguh\dataset3\C\Jalan50.csv,8062,7427,172,30,0.7748314364655167,0.0,C,50
E:\0.TA_Teguh\dataset3\C\Jalan51.csv,10243,8847,176,41,0.7324252879612374,0.0,C,51
E:\0.TA_Teguh\dataset3\C\Jalan52.csv,1782,1180,155,104,0.3056619442846574,0.0,C,52
E:\0.TA_Teguh\dataset3\C\Jalan53.csv,2174,1233,155,106,0.30051223204233607,0.0,C,53
E:\0.TA_Teguh\dataset3\C\Jalan54.csv,3836,2244,161,87,0.4329252816884817,0.0,C,54
E:\0.TA_Teguh\dataset3\C\Jalan55.csv,6675,5217,163,54,0.627974356766728,0.0,C,55
E:\0.TA_Teguh\dataset3\C\Jalan56.csv,4804,4363,138,53,0.5852510937970243,0.0,C,56
E:\0.TA_Teguh\dataset3\C\Jalan57.csv,8030,6403,166,62,0.5927043470521548,0.0,C,57
E:\0.TA_Teguh\dataset3\C\Jalan58.csv,6040,5041,180,80,0.5250834323081817,0.0,C,58
E:\0.TA_Teguh\dataset3\C\Jalan59.csv,4852,4215,174,68,0.5740946435723997,0.0,C,59
E:\0.TA_Teguh\dataset3\C\Jalan60.csv,6292,5642,157,32,0.7492188957993452,0.0,C,60
E:\0.TA_Teguh\dataset3\C\Jalan61.csv,6207,5534,164,50,0.6600621546665695,0.0,C,61
E:\0.TA_Teguh\dataset3\C\Jalan62.csv,3959,3341,154,63,0.5526328625872192,0.0,C,62
E:\0.TA_Teguh\dataset3\C\Jalan63.csv,13323,10673,474,198,0.5508123459492101,0.0,C,63
E:\0.TA_Teguh\dataset3\C\Jalan64.csv,13132,11720,364,89,0.7111598551623731,0.0,C,64
E:\0.TA_Teguh\dataset3\C\Jalan65.csv,12199,11129,300,52,0.7756298924684187,0.0,C,65
E:\0.TA_Teguh\dataset3\C\Jalan66.csv,11572,10755,238,30,0.822060781487682,0.0,C,66
E:\0.TA_Teguh\dataset3\C\Jalan67.csv,10768,8681,373,145,0.579797792262107,0.0,C,67
E:\0.TA_Teguh\dataset3\C\Jalan68.csv,10400,9087,320,97,0.6598790397295726,0.0,C,68
E:\0.TA_Teguh\dataset3\C\Jalan69.csv,11199,10264,276,57,0.7492195270063751,0.0,C,69
E:\0.TA_Teguh\dataset3\C\Jalan70.csv,11783,10965,233,27,0.8319618721631618,0.0,C,70
E:\0.TA_Teguh\dataset3\C\Jalan71.csv,22255,17913,695,239,0.6210107891153216,0.0,C,71
E:\0.TA_Teguh\dataset3\C\Jalan72.csv,30306,27736,666,132,0.7599202051328057,0.0,C,72
E:\0.TA_Teguh\dataset3\D\Jalan1.csv,3840,3104,120,44,0.6012020395650342,0.0,D,1
E:\0.TA_Teguh\dataset3\D\Jalan2.csv,7033,6336,123,27,0.7365821664514526,0.0,D,2
E:\0.TA_Teguh\dataset3\D\Jalan3.csv,7117,6157,126,35,0.683040519118176,0.0,D,3
E:\0.TA_Teguh\dataset3\D\Jalan4.csv,1098,563,106,78,0.2467622022139242,0.0,D,4
E:\0.TA_Teguh\dataset3\D\Jalan5.csv,1795,1025,129,91,0.2804796290595785,0.0,D,5
