timestamp,frame,cx,cy,cz,v_walk,step_event,step_time,step_length,step_count,cadence_spm
1762771574.375825,25,-0.253048,3.001503,2.143305,31.186976,0,,,0,0.000000
1762771574.432573,26,-0.032521,3.136081,1.641285,4.552529,0,,,0,0.000000
1762771574.485973,27,-0.045714,0.210479,1.644803,54.787325,0,,,0,0.000000
1762771574.535267,28,2.307631,0.540590,-0.831617,48.208657,0,,,0,0.000000
1762771574.600053,29,-0.083425,3.138125,1.777233,54.494432,0,,,0,0.000000
1762771574.654857,30,0.191917,4.275061,-0.147002,21.345164,0,,,0,0.000000
1762771574.711287,31,-0.019731,2.838949,1.770156,25.724514,0,,,0,0.000000
1762771574.755699,32,-1.804624,0.250186,1.138833,70.801482,0,,,0,0.000000
1762771574.820529,33,-0.040719,3.175055,1.767009,52.684818,0,,,0,0.000000
1762771574.876133,34,-0.566175,2.424556,-0.529629,16.476484,0,,,0,0.000000
1762771574.931243,35,-0.253048,3.206410,2.047010,15.282635,0,,,0,0.000000
1762771574.978992,36,0.063284,0.201710,-0.130791,63.274694,0,,,0,0.000000
1762771575.025751,37,-0.249794,3.131858,1.771303,63.022700,0,,,0,0.000000
1762771575.091051,38,-0.025179,0.159103,0.022252,45.654020,0,,,0,0.000000
1762771575.136878,39,0.049979,0.161195,2.074982,1.640674,0,,,0,0.000000
1762771575.201511,40,0.054217,0.163133,1.941705,0.072095,0,,,0,0.000000
1762771575.247257,41,-0.062820,0.196463,1.755129,2.660160,0,,,0,0.000000
1762771575.315502,42,0.135654,0.206791,1.919939,2.912166,0,,,0,0.000000
1762771575.359052,43,1.835913,1.119496,-0.740661,44.310757,0,,,0,0.000000
1762771575.423994,44,1.826154,0.179794,2.071635,14.470665,0,,,0,0.000000
1762771575.470592,45,2.337694,1.723601,-0.001715,34.901906,0,,,0,0.000000
1762771575.534803,46,1.365587,2.503610,1.862226,19.410371,0,,,0,0.000000
1762771575.582187,47,-0.122528,0.234916,2.080595,57.259532,0,,,0,0.000000
1762771575.645433,48,-0.034587,0.188956,2.081626,1.568901,0,,,0,0.000000
1762771575.694222,49,-0.024054,0.251543,2.012502,1.300868,0,,,0,0.000000
1762771575.756489,50,0.101215,6.223995,2.937893,95.937792,0,,,0,0.000000
1762771575.804539,51,-0.061782,0.125477,1.894634,126.964495,0,,,0,0.000000
1762771575.862884,52,-0.072566,3.783109,2.082474,62.690682,0,,,0,0.000000
1762771575.916387,53,-0.034366,0.203385,2.122116,66.910158,0,,,0,0.000000
1762771575.963440,54,-0.141676,0.209155,2.013821,2.283924,0,,,0,0.000000
1762771576.027554,55,-1.152881,5.185824,0.301309,79.207912,0,,,0,0.000000
1762771576.075491,56,-2.338574,5.311684,1.932153,24.873274,0,,,0,0.000000
1762771576.124416,57,-0.086143,4.041258,2.012725,52.857389,0,,,0,0.000000
1762771576.187985,58,-1.928408,5.109974,1.264674,33.503768,0,,,0,0.000000
1762771576.236088,59,-0.161683,5.202492,0.694152,36.778407,0,,,0,0.000000
1762771576.299592,60,-2.581878,3.266054,0.594889,48.808202,0,,,0,0.000000
1762771576.348537,61,-0.166202,0.719114,2.628414,71.719540,0,,,0,0.000000
1762771576.411406,62,0.193061,3.576929,1.648374,45.814910,0,,,0,0.000000
1762771576.460825,63,5.692733,2.532570,-2.092726,113.274395,0,,,0,0.000000
1762771576.523131,64,-0.092212,0.191901,1.944925,100.160004,1,,,1,60000000.000000
1762771576.580218,65,-0.098282,3.093066,1.358777,50.820234,0,,,1,1051.028400
1762771576.636050,66,-1.910672,0.502416,0.746936,56.628332,0,,,1,531.353900
1762771576.689736,67,0.018380,6.822964,0.785041,123.092682,0,,,1,360.132743
1762771576.745126,68,-0.044718,0.247665,2.025908,118.715363,0,,,1,270.276507
1762771576.798412,69,1.419322,6.736610,-0.125711,124.835502,0,,,1,217.958764
1762771576.863141,70,-1.923269,0.689273,0.852183,106.747726,0,,,1,176.465312
1762771576.908885,71,-0.178612,0.194655,1.848262,39.642520,0,,,1,155.539401
1762771576.960826,72,0.209138,2.096423,1.919937,37.367692,0,,,1,137.081824
1762771577.020998,73,-1.016497,0.554712,1.461267,32.731383,0,,,1,120.514029
1762771577.071025,74,-1.823169,0.574499,1.117287,16.129548,0,,,1,109.510138
1762771577.135493,75,-2.008052,0.570044,0.759369,2.868668,0,,,1,97.981236
1762771577.182798,76,-2.017379,0.597728,0.801714,0.617541,0,,,1,90.954914
