file,subject,N,frames,down,up,eq,empty,total_drop,total_fill,fallback_uniform_frames
Jalan50.csv,D,56,116,79,37,0,0,2094,754,0
Jalan51.csv,D,56,107,44,62,1,0,1061,1708,0
Jalan52.csv,D,56,73,0,73,0,0,0,3255,0
Jalan53.csv,D,56,84,0,84,0,0,0,3303,0
Jalan54.csv,D,56,105,17,87,1,0,147,2641,0
Jalan55.csv,D,56,99,22,77,0,0,335,2074,0
Jalan56.csv,D,56,89,32,57,0,0,906,1869,0
Jalan57.csv,D,56,109,42,64,3,0,1288,1989,0
Jalan58.csv,D,56,114,36,77,1,0,968,2308,0
Jalan59.csv,D,56,107,15,89,3,0,163,2208,0
Jalan6.csv,D,56,91,16,75,0,0,188,2111,0
Jalan60.csv,D,56,112,19,92,1,0,280,2336,0
Jalan61.csv,D,56,138,47,89,2,0,1101,2427,0
Jalan62.csv,D,56,118,42,75,1,0,1123,1845,0
Jalan63.csv,D,56,258,36,221,1,0,589,7076,0
Jalan64.csv,D,56,287,72,212,3,0,1633,6874,0
Jalan65.csv,D,56,256,109,143,4,0,2640,3822,0
Jalan66.csv,D,56,198,87,107,4,0,2065,2434,0
Jalan67.csv,D,56,290,48,242,0,0,1315,8026,0
Jalan68.csv,D,56,277,70,205,2,0,1567,5887,0
Jalan69.csv,D,56,274,100,168,6,0,2746,4710,0
Jalan7.csv,D,56,95,32,62,1,0,559,1740,0
Jalan70.csv,D,56,218,91,123,4,0,2198,2901,0
Jalan71.csv,D,56,476,118,356,2,0,2392,10619,0
Jalan72.csv,D,56,507,134,369,4,0,4140,9707,0
Jalan8.csv,D,56,83,30,53,0,0,772,1695,0
Jalan9.csv,D,56,94,40,52,2,0,1624,1725,0
Jalan1.csv,E,56,97,28,69,0,0,458,1670,0
Jalan10.csv,E,56,84,32,50,2,0,664,1511,0
Jalan11.csv,E,56,89,28,61,0,0,451,1928,0
Jalan12.csv,E,56,92,30,62,0,0,1020,1807,0
Jalan13.csv,E,56,98,46,50,2,0,889,1218,0
Jalan14.csv,E,56,86,22,64,0,0,445,1633,0
Jalan15.csv,E,56,256,30,221,5,0,284,6860,0
Jalan16.csv,E,56,241,71,169,1,0,1559,5447,0
Jalan17.csv,E,56,241,82,157,2,0,1846,4471,0
Jalan18.csv,E,56,167,92,75,0,0,2084,1773,0
Jalan19.csv,E,56,232,50,180,2,0,859,5628,0
Jalan2.csv,E,56,98,58,40,0,0,2171,966,0
Jalan20.csv,E,56,214,73,141,0,0,1749,4154,0
Jalan21.csv,E,56,191,55,132,4,0,1354,3584,0
Jalan22.csv,E,56,159,94,62,3,0,2576,1411,0
Jalan23.csv,E,56,382,96,283,3,0,1320,8439,0
Jalan24.csv,E,56,396,127,264,5,0,4374,6833,0
Jalan25.csv,E,56,61,5,56,0,0,91,1389,0
Jalan26.csv,E,56,77,43,33,1,0,1147,757,0
Jalan27.csv,E,56,72,44,28,0,0,1616,749,0
Jalan28.csv,E,56,54,0,54,0,0,0,2356,0
Jalan29.csv,E,56,51,3,48,0,0,12,1429,0
Jalan3.csv,E,56,94,47,47,0,0,1328,1146,0
Jalan30.csv,E,56,67,17,49,1,0,253,1380,0
Jalan31.csv,E,56,80,42,38,0,0,890,1228,0
Jalan32.csv,E,56,66,23,43,0,0,483,1706,0
Jalan33.csv,E,56,68,23,44,1,0,901,1406,0
Jalan34.csv,E,56,69,22,47,0,0,511,1489,0
Jalan35.csv,E,56,70,26,41,3,0,530,1142,0
Jalan36.csv,E,56,75,25,50,0,0,477,1435,0
Jalan37.csv,E,56,80,29,48,3,0,575,1276,0
Jalan38.csv,E,56,69,17,51,1,0,315,1297,0
Jalan39.csv,E,56,189,37,146,6,0,448,4952,0
Jalan4.csv,E,56,69,0,69,0,0,0,2848,0
Jalan40.csv,E,56,161,50,110,1,0,1542,3348,0
Jalan41.csv,E,56,166,73,91,2,0,1749,2011,0
Jalan42.csv,E,56,141,89,51,1,0,2754,987,0
Jalan43.csv,E,56,192,39,152,1,0,549,4656,0
Jalan44.csv,E,56,183,66,117,0,0,1577,3000,0
Jalan45.csv,E,56,146,67,75,4,0,1630,1693,0
Jalan46.csv,E,56,122,80,39,3,0,2416,726,0
Jalan47.csv,E,56,305,88,211,6,0,1674,6057,0
Jalan48.csv,E,56,320,97,219,4,0,3535,6447,0
Jalan49.csv,E,56,99,21,77,1,0,226,1601,0
Jalan5.csv,E,56,67,3,64,0,0,5,2220,0
Jalan50.csv,E,56,93,59,34,0,0,1707,848,0
Jalan51.csv,E,56,129,66,58,5,0,1510,1411,0
Jalan52.csv,E,56,83,0,83,0,0,0,3201,0
Jalan53.csv,E,56,102,4,98,0,0,30,3076,0
Jalan54.csv,E,56,111,17,89,5,0,156,2632,0
Jalan55.csv,E,56,135,58,75,2,0,1478,2098,0
Jalan56.csv,E,56,116,51,64,1,0,1111,2147,0
