file,subject,N,frames,down,up,eq,empty,total_drop,total_fill,fallback_uniform_frames
Jalan11.csv,D,48,96,36,56,4,0,441,1455,0
Jalan12.csv,D,48,112,43,68,1,0,1289,1541,0
Jalan13.csv,D,48,115,54,60,1,0,865,1568,0
Jalan14.csv,D,48,96,30,66,0,0,625,1769,0
Jalan15.csv,D,48,274,58,210,6,0,794,6202,0
Jalan16.csv,D,48,271,106,163,2,0,2220,4075,0
Jalan17.csv,D,48,237,94,140,3,0,2257,3398,0
Jalan18.csv,D,48,186,99,82,5,0,2509,1865,0
Jalan19.csv,D,48,264,64,196,4,0,1129,5033,0
Jalan2.csv,D,48,101,73,26,2,0,2258,602,0
Jalan20.csv,D,48,268,79,187,2,0,1848,4426,0
Jalan21.csv,D,48,251,136,111,4,0,3939,2437,0
Jalan22.csv,D,48,202,127,74,1,0,2826,1451,0
Jalan23.csv,D,48,454,176,274,4,0,3554,6529,0
Jalan24.csv,D,48,465,192,266,7,0,5622,6272,0
Jalan25.csv,D,48,73,22,50,1,0,257,1130,0
Jalan26.csv,D,48,93,65,28,0,0,1905,475,0
Jalan27.csv,D,48,83,46,36,1,0,1392,825,0
Jalan28.csv,D,48,47,0,47,0,0,0,1750,0
Jalan29.csv,D,48,64,2,62,0,0,25,1779,0
Jalan3.csv,D,48,98,64,34,0,0,2442,853,0
Jalan30.csv,D,48,76,7,68,1,0,37,1789,0
Jalan31.csv,D,48,71,34,36,1,0,675,1028,0
Jalan32.csv,D,48,55,27,28,0,0,853,885,0
Jalan33.csv,D,48,63,22,41,0,0,848,1058,0
Jalan34.csv,D,48,71,29,42,0,0,491,1196,0
Jalan35.csv,D,48,77,29,46,2,0,400,1226,0
Jalan36.csv,D,48,72,28,43,1,0,623,1050,0
Jalan37.csv,D,48,86,32,53,1,0,801,1217,0
Jalan38.csv,D,48,71,20,51,0,0,562,1356,0
Jalan39.csv,D,48,218,55,161,2,0,905,4451,0
Jalan4.csv,D,48,71,0,71,0,0,0,2562,0
Jalan40.csv,D,48,189,69,118,2,0,1686,3246,0
Jalan41.csv,D,48,167,60,106,1,0,1542,2295,0
Jalan42.csv,D,48,149,87,61,1,0,2752,1190,0
Jalan43.csv,D,48,221,50,167,4,0,877,4399,0
Jalan44.csv,D,48,208,67,136,5,0,1817,3397,0
Jalan45.csv,D,48,190,81,106,3,0,2243,2077,0
Jalan46.csv,D,48,150,80,67,3,0,2582,1241,0
Jalan47.csv,D,48,341,119,216,6,0,2424,5044,0
Jalan48.csv,D,48,338,104,230,4,0,2997,6077,0
Jalan49.csv,D,48,104,29,73,2,0,537,1920,0
Jalan5.csv,D,48,67,2,64,1,0,29,2015,0
Jalan50.csv,D,48,116,88,27,1,0,2771,503,0
Jalan51.csv,D,48,107,57,50,0,0,1466,1257,0
Jalan52.csv,D,48,73,2,70,1,0,8,2679,0
Jalan53.csv,D,48,84,2,81,1,0,3,2634,0
Jalan54.csv,D,48,105,27,78,0,0,330,1984,0
Jalan55.csv,D,48,99,36,60,3,0,546,1493,0
Jalan56.csv,D,48,89,37,52,0,0,1183,1434,0
Jalan57.csv,D,48,109,51,57,1,0,1666,1495,0
Jalan58.csv,D,48,114,43,68,3,0,1283,1711,0
Jalan59.csv,D,48,107,32,72,3,0,358,1547,0
Jalan6.csv,D,48,91,30,60,1,0,374,1569,0
Jalan60.csv,D,48,112,36,72,4,0,515,1675,0
Jalan61.csv,D,48,138,59,77,2,0,1530,1752,0
Jalan62.csv,D,48,118,56,60,2,0,1526,1304,0
Jalan63.csv,D,48,258,64,192,2,0,986,5409,0
Jalan64.csv,D,48,287,97,187,3,0,2333,5278,0
Jalan65.csv,D,48,256,131,123,2,0,3614,2748,0
